Date,Incident Type,Severity
1/1/2023,Equipment Malfunction,Medium
1/2/2023,Fall,Medium
1/3/2023,Equipment Malfunction,High
1/4/2023,Equipment Malfunction,Medium
1/5/2023,Fall,High
1/6/2023,Fall,Medium
1/7/2023,Equipment Malfunction,High
1/8/2023,Slips,High
1/9/2023,Equipment Malfunction,Medium
1/10/2023,Equipment Malfunction,Medium
1/11/2023,Equipment Malfunction,Medium
1/12/2023,Equipment Malfunction,Low
1/13/2023,Fall,Low
1/14/2023,Equipment Malfunction,Low
1/15/2023,Slips,High
1/16/2023,Fall,Medium
1/17/2023,Slips,High
1/18/2023,Slips,Low
1/19/2023,Slips,Medium
1/20/2023,Slips,High
1/21/2023,Fall,Medium
1/22/2023,Fall,High
1/23/2023,Slips,Medium
1/24/2023,Slips,Low
1/25/2023,Fall,Low
1/26/2023,Fall,Medium
1/27/2023,Fall,High
1/28/2023,Equipment Malfunction,Low
1/29/2023,Equipment Malfunction,Low
1/30/2023,Equipment Malfunction,Low
1/31/2023,Slips,Medium
2/1/2023,Equipment Malfunction,Medium
2/2/2023,Slips,High
2/3/2023,Slips,High
2/4/2023,Equipment Malfunction,High
2/5/2023,Slips,Medium
2/6/2023,Equipment Malfunction,Medium
2/7/2023,Equipment Malfunction,High
2/8/2023,Fall,High
2/9/2023,Equipment Malfunction,Medium
2/10/2023,Fall,High
2/11/2023,Equipment Malfunction,Low
2/12/2023,Equipment Malfunction,Medium
2/13/2023,Fall,High
2/14/2023,Fall,Medium
2/15/2023,Equipment Malfunction,Low
2/16/2023,Slips,Medium
2/17/2023,Fall,Medium
2/18/2023,Slips,Medium
2/19/2023,Slips,Medium
2/20/2023,Slips,Low
2/21/2023,Fall,Medium
2/22/2023,Slips,Medium
2/23/2023,Fall,High
2/24/2023,Slips,Medium
2/25/2023,Equipment Malfunction,High
2/26/2023,Equipment Malfunction,Low
2/27/2023,Fall,Low
2/28/2023,Equipment Malfunction,Low
3/1/2023,Equipment Malfunction,Low
3/2/2023,Slips,High
3/3/2023,Fall,Medium
3/4/2023,Slips,Low
3/5/2023,Slips,Medium
3/6/2023,Slips,High
3/7/2023,Slips,High
3/8/2023,Slips,High
3/9/2023,Slips,Low
3/10/2023,Slips,Medium
3/11/2023,Fall,Medium
3/12/2023,Equipment Malfunction,Medium
3/13/2023,Slips,High
3/14/2023,Slips,Low
3/15/2023,Slips,High
3/16/2023,Slips,High
3/17/2023,Slips,Medium
3/18/2023,Slips,High
3/19/2023,Equipment Malfunction,Medium
3/20/2023,Equipment Malfunction,Low
3/21/2023,Slips,Medium
3/22/2023,Equipment Malfunction,Low
3/23/2023,Fall,Medium
3/24/2023,Slips,High
3/25/2023,Fall,High
3/26/2023,Fall,Low
3/27/2023,Slips,Low
3/28/2023,Equipment Malfunction,Low
3/29/2023,Fall,Medium
3/30/2023,Slips,Medium
3/31/2023,Fall,Low
4/1/2023,Fall,High
4/2/2023,Fall,Medium
4/3/2023,Fall,Medium
4/4/2023,Equipment Malfunction,Medium
4/5/2023,Fall,Low
4/6/2023,Fall,Low
4/7/2023,Fall,Low
4/8/2023,Equipment Malfunction,Low
4/9/2023,Fall,Low
4/10/2023,Fall,High
4/11/2023,Equipment Malfunction,High
4/12/2023,Equipment Malfunction,Low
4/13/2023,Equipment Malfunction,Medium
4/14/2023,Fall,Low
4/15/2023,Equipment Malfunction,High
4/16/2023,Equipment Malfunction,High
4/17/2023,Fall,Medium
4/18/2023,Equipment Malfunction,High
4/19/2023,Fall,Low
4/20/2023,Slips,Medium
4/21/2023,Equipment Malfunction,Low
4/22/2023,Slips,Low
4/23/2023,Fall,Medium
4/24/2023,Equipment Malfunction,Low
4/25/2023,Fall,High
4/26/2023,Slips,Low
4/27/2023,Fall,Medium
4/28/2023,Equipment Malfunction,Medium
4/29/2023,Equipment Malfunction,Medium
4/30/2023,Slips,Low
5/1/2023,Fall,Medium
5/2/2023,Equipment Malfunction,Medium
5/3/2023,Slips,Low
5/4/2023,Equipment Malfunction,High
5/5/2023,Equipment Malfunction,Low
5/6/2023,Fall,Medium
5/7/2023,Equipment Malfunction,Medium
5/8/2023,Fall,Low
5/9/2023,Equipment Malfunction,High
5/10/2023,Slips,Medium
5/11/2023,Equipment Malfunction,Medium
5/12/2023,Fall,Medium
5/13/2023,Fall,Low
5/14/2023,Slips,Medium
5/15/2023,Equipment Malfunction,High
5/16/2023,Equipment Malfunction,Medium
5/17/2023,Slips,Medium
5/18/2023,Equipment Malfunction,High
5/19/2023,Equipment Malfunction,Medium
5/20/2023,Fall,Low
5/21/2023,Equipment Malfunction,Low
5/22/2023,Equipment Malfunction,Low
5/23/2023,Slips,High
5/24/2023,Slips,Medium
5/25/2023,Fall,Low
5/26/2023,Equipment Malfunction,High
5/27/2023,Equipment Malfunction,Medium
5/28/2023,Equipment Malfunction,High
5/29/2023,Fall,Low
5/30/2023,Fall,Low
5/31/2023,Slips,Low
6/1/2023,Fall,High
6/2/2023,Equipment Malfunction,High
6/3/2023,Equipment Malfunction,Low
6/4/2023,Fall,High
6/5/2023,Equipment Malfunction,Low
6/6/2023,Equipment Malfunction,Low
6/7/2023,Fall,Medium
6/8/2023,Fall,High
6/9/2023,Equipment Malfunction,Low
6/10/2023,Equipment Malfunction,Low
6/11/2023,Equipment Malfunction,High
6/12/2023,Slips,Medium
6/13/2023,Slips,Medium
6/14/2023,Slips,Low
6/15/2023,Fall,High
6/16/2023,Slips,Medium
6/17/2023,Fall,High
6/18/2023,Fall,High
6/19/2023,Slips,Low
6/20/2023,Slips,Medium
6/21/2023,Slips,Low
6/22/2023,Equipment Malfunction,Medium
6/23/2023,Slips,Medium
6/24/2023,Equipment Malfunction,Medium
6/25/2023,Fall,Medium
6/26/2023,Equipment Malfunction,Medium
6/27/2023,Slips,High
6/28/2023,Fall,Low
6/29/2023,Fall,High
6/30/2023,Fall,Medium
7/1/2023,Equipment Malfunction,Low
7/2/2023,Slips,Medium
7/3/2023,Fall,Low
7/4/2023,Fall,High
7/5/2023,Fall,Low
7/6/2023,Equipment Malfunction,Low
7/7/2023,Equipment Malfunction,Low
7/8/2023,Slips,Low
7/9/2023,Equipment Malfunction,Low
7/10/2023,Fall,Medium
7/11/2023,Slips,Low
7/12/2023,Fall,Low
7/13/2023,Fall,High
7/14/2023,Equipment Malfunction,Low
7/15/2023,Slips,High
7/16/2023,Equipment Malfunction,Medium
7/17/2023,Equipment Malfunction,Low
7/18/2023,Slips,High
7/19/2023,Fall,High
7/20/2023,Fall,Medium
7/21/2023,Slips,Low
7/22/2023,Fall,Low
7/23/2023,Slips,High
7/24/2023,Slips,Low
7/25/2023,Equipment Malfunction,High
7/26/2023,Slips,Low
7/27/2023,Equipment Malfunction,High
7/28/2023,Fall,Low
7/29/2023,Fall,Medium
7/30/2023,Fall,Low
7/31/2023,Fall,Low
8/1/2023,Equipment Malfunction,Medium
8/2/2023,Fall,Low
8/3/2023,Slips,Medium
8/4/2023,Slips,Low
8/5/2023,Slips,High
8/6/2023,Equipment Malfunction,High
8/7/2023,Fall,Low
8/8/2023,Fall,Low
8/9/2023,Fall,Low
8/10/2023,Equipment Malfunction,High
8/11/2023,Slips,Low
8/12/2023,Slips,High
8/13/2023,Fall,Medium
8/14/2023,Slips,High
8/15/2023,Slips,High
