Feature,Chi-Squared Score,p-value
Type,6.075000000000002,0.19361680379369367
Queuing_TIme,5.7574728260869605,0.21800724578694744
Taste,5.395960365853658,0.24902713592453768
Freshness,5.19233167082295,0.2681261760168455
Dinning_Environment,4.449314024390246,0.348599904304173
Employee_Hygiene,3.905539772727273,0.41894056782746136
Price,3.7456683168316847,0.44151861167824824
Tableware_Situation,3.380992111650486,0.49620284615279664
Business_Hour,2.9875464108910905,0.5599116372148438
Hygiene,2.7370119647355167,0.6027537061620142
Cafeteria_Location,2.5442260442260434,0.6367343286798325
Attitude,2.042487684729064,0.7279442911135275
